value,timestamp,anomaly
-0.7745739215834979,2021-07-01,False
-0.9338096324331167,2021-07-02,False
-0.8414995102272284,2021-07-03,False
-0.9506718451574034,2021-07-04,False
-0.9269075854884972,2021-07-05,False
-1.0858773216303321,2021-07-06,False
-0.9851456769036347,2021-07-07,False
-0.9823878860831966,2021-07-08,False
-1.0600546451256347,2021-07-09,False
,2021-07-10,False
-1.1212313302708863,2021-07-11,False
-0.9711888788545758,2021-07-12,False
-0.8880092338422776,2021-07-13,False
-0.9855362649456749,2021-07-14,False
-0.9731242455352881,2021-07-15,False
-0.846171014068203,2021-07-16,False
-1.0541400689779403,2021-07-17,False
-1.071845203972222,2021-07-18,False
-0.9178913550951007,2021-07-19,False
-0.967287440448601,2021-07-20,False
-1.0078255160499652,2021-07-21,False
-0.9022293922224139,2021-07-22,False
0.011404410984835689,2021-07-23,True
-1.012599690890534,2021-07-24,False
-0.9240210172286103,2021-07-25,False
-0.8916234274912667,2021-07-26,False
-0.9449319803123262,2021-07-27,False
-1.12523554479398,2021-07-28,False
-0.8844748340902364,2021-07-29,False
,2021-07-30,False
-0.9230429735254231,2021-07-31,False
-0.8907685912242344,2021-08-01,False
-0.9287280538699376,2021-08-02,False
-1.0236344637947672,2021-08-03,False
-0.9500156509721783,2021-08-04,False
-0.7953693439158311,2021-08-05,False
-0.8913391626475512,2021-08-06,False
,2021-08-07,True
-0.8289133806206993,2021-08-08,False
-0.896387059046167,2021-08-09,False
-0.8809540643815202,2021-08-10,False
-0.633611642472831,2021-08-11,False
-1.0315140546712456,2021-08-12,False
-0.8392372350146259,2021-08-13,False
0.5053527341802748,2021-08-14,True
-0.802482275614125,2021-08-15,False
-0.8325293277609003,2021-08-16,False
-0.7523698867054557,2021-08-17,False
-0.8152511688377259,2021-08-18,False
-0.8524269792478234,2021-08-19,False
-0.8499888443758544,2021-08-20,False
-0.9761240728229668,2021-08-21,False
-0.9644563638098704,2021-08-22,False
-0.8500115684064161,2021-08-23,False
-0.8779518895541245,2021-08-24,False
-0.8474399290336521,2021-08-25,False
-0.8798859569901631,2021-08-26,False
-0.565595857339728,2021-08-27,True
,2021-08-28,False
-0.7192449284626994,2021-08-29,False
-0.7133658098375353,2021-08-30,False
-0.8649873907353812,2021-08-31,False
-0.8390116097641706,2021-09-01,False
,2021-09-02,False
-0.9231669810036026,2021-09-03,False
-0.8589166765931977,2021-09-04,False
-0.7886218301959281,2021-09-05,False
-0.9978712105403252,2021-09-06,False
-0.7797542537075437,2021-09-07,False
-0.8485413817568883,2021-09-08,False
-0.795172690950256,2021-09-09,False
-0.849964114652566,2021-09-10,False
-0.8999241176726359,2021-09-11,False
-0.916983537543075,2021-09-12,False
-0.8058415618684546,2021-09-13,False
